Zeta Zeros,#FF00FF
0.5,1322.258067123
0.5,1324.224978719
0.5,1325.237624359
0.5,1325.981969630
0.5,1327.635281108
0.5,1329.043517997
0.5,1329.205018785
0.5,1330.429937120
0.5,1331.827591385
0.5,1333.673522610
0.5,1334.747329052
0.5,1335.694974526
0.5,1336.690184653
0.5,1337.688791810
0.5,1338.923164599
0.5,1340.426400457
0.5,1341.166272253
0.5,1342.608507884
0.5,1344.156044004
0.5,1345.477106261
0.5,1345.731413255
0.5,1347.519471751
0.5,1348.017238019
0.5,1349.085194014
0.5,1351.296206374
0.5,1352.210465159
0.5,1353.483338358
0.5,1353.886781972
0.5,1355.680595321
0.5,1356.605655710
0.5,1357.771742829
0.5,1358.460160399
0.5,1360.393144762
0.5,1361.393074714
0.5,1363.022328603
0.5,1363.879190797
0.5,1364.576584897
0.5,1365.493733551
0.5,1367.104090970
0.5,1368.330193308
0.5,1369.686949077
0.5,1370.973522768
0.5,1371.686553553
0.5,1373.202914562
0.5,1374.154798659
0.5,1375.302392345
0.5,1376.161779994
0.5,1377.177633642
0.5,1379.683283029
0.5,1380.148578442
0.5,1381.073977149
0.5,1382.345662978
0.5,1383.297591008
0.5,1384.444415848
0.5,1385.663777011
0.5,1387.326647663
0.5,1387.921454127
0.5,1389.565831798
0.5,1390.705490286
0.5,1391.853200443
0.5,1392.644027789
0.5,1393.433401741
0.5,1394.884184676
0.5,1396.544163124
0.5,1397.834623321
0.5,1398.837675201
0.5,1399.839472941
0.5,1400.426946297
0.5,1402.564347250
0.5,1402.973747641
0.5,1404.006292171
0.5,1405.666975059
0.5,1407.085142776
0.5,1408.136307496
0.5,1409.320681080
0.5,1410.024810726
0.5,1411.257056816
0.5,1411.965653462
0.5,1413.843148789
0.5,1415.585784795
0.5,1415.781581303
0.5,1417.102822934
0.5,1418.696963852
0.5,1419.422480946
0.5,1420.416526324
0.5,1421.850567187
0.5,1422.461310988
0.5,1424.463045670
0.5,1425.873469245
0.5,1426.645979682
0.5,1427.365671109
0.5,1428.592305876
0.5,1429.650477276
0.5,1431.218313673
0.5,1432.049740893
0.5,1433.821940737
0.5,1434.584942168
0.5,1435.692907383
0.5,1437.226721624
0.5,1438.006284842
0.5,1438.949552747
0.5,1439.622793078
0.5,1441.960987505
0.5,1442.911059581
0.5,1444.041930706
0.5,1445.072278459
0.5,1445.830084780
0.5,1447.226227100
0.5,1448.323853516
0.5,1449.488771281
0.5,1450.773561858
0.5,1451.835297999
0.5,1453.737596757
0.5,1454.226011260
0.5,1455.312091240
0.5,1456.167797608
0.5,1457.539001668
0.5,1458.393777369
0.5,1460.688270535
0.5,1461.245443345
0.5,1462.266123266
0.5,1463.286891190
0.5,1464.696903298
0.5,1465.889557614
0.5,1466.505621108
0.5,1467.703989586
0.5,1469.347649878
0.5,1470.966589127
0.5,1471.388764527
0.5,1473.020132324
0.5,1473.745649186
0.5,1474.203221566
0.5,1476.092127038
0.5,1477.435191148
0.5,1478.441395973
0.5,1479.759918706
0.5,1480.766879018
0.5,1481.964684210
0.5,1483.032959958
0.5,1484.143580882
0.5,1484.817883231
0.5,1486.171349028
0.5,1488.116337976
0.5,1489.252466946
0.5,1489.970892205
0.5,1490.670693815
0.5,1492.180090544
0.5,1493.330835421
0.5,1494.155368614
0.5,1495.768832979
0.5,1497.065505572
0.5,1497.747360933
0.5,1499.640824747
0.5,1500.351951517
0.5,1501.119324922
0.5,1502.346063292
0.5,1503.090933127
0.5,1505.261529655
0.5,1506.152986138
0.5,1507.407505164
0.5,1508.253031030
0.5,1509.280419363
0.5,1510.391797446
0.5,1511.923005459
0.5,1512.589764705
0.5,1513.589765540
0.5,1515.708343587
0.5,1516.435989719
0.5,1517.719806254
0.5,1518.414791487
0.5,1519.741009494
0.5,1520.273622220
0.5,1521.901909065
0.5,1523.486047149
0.5,1524.724892161
0.5,1525.227837234
0.5,1526.552311910
0.5,1528.040930429
0.5,1529.034456729
0.5,1529.369975365
0.5,1531.020742970
0.5,1532.222326939
0.5,1533.886977913
0.5,1535.042277471
0.5,1535.769502395
0.5,1536.620701824
0.5,1537.651062168
0.5,1539.302854856
0.5,1540.030270140
0.5,1541.742248763
0.5,1542.496522923
0.5,1544.118670055
0.5,1544.834608228
0.5,1546.091197786
0.5,1547.297581121
0.5,1547.806563802
0.5,1548.871348179
0.5,1551.273845326
0.5,1552.006872838
0.5,1552.736105330
0.5,1554.156519110
0.5,1554.921285165
0.5,1556.162987498
0.5,1557.394507018
0.5,1558.339152852
0.5,1559.781154391
0.5,1560.876475778
0.5,1562.410153180
0.5,1563.385400958
0.5,1564.177940460
0.5,1564.915788262
0.5,1566.266415602
