index, F0 InfR.x, F0 InfR.y, F1 InfR.x, F1 InfR.y, F2 InfR.x, F2 InfR.y, F3 InfR.x, F3 InfR.y, F4 InfR.x, F4 InfR.y
0.5851, 1.07372,0.38853, 1.07372,0.38853, 1.07372,0.38853, 1.07372,0.38853, 1.07372,0.38853
0.5901, 1.08835,0.38706, 1.08835,0.38706, 1.08835,0.38706, 1.08835,0.38706, 1.08835,0.38706
0.5951, 1.10313,0.38510, 1.10313,0.38510, 1.10313,0.38510, 1.10313,0.38510, 1.10313,0.38510
0.6001, 1.11803,0.38263, 1.11803,0.38263, 1.11803,0.38263, 1.11803,0.38263, 1.11803,0.38263
0.6051, 1.13304,0.37962, 1.13304,0.37962, 1.13304,0.37962, 1.13304,0.37962, 1.13304,0.37962
0.6101, 1.14814,0.37607, 1.14814,0.37607, 1.14814,0.37607, 1.14814,0.37607, 1.14814,0.37607
0.6151, 1.16331,0.37195, 1.16331,0.37195, 1.16331,0.37195, 1.16331,0.37195, 1.16331,0.37195
0.6201, 1.17855,0.36724, 1.17855,0.36724, 1.17855,0.36724, 1.17855,0.36724, 1.17855,0.36724
0.6251, 1.19383,0.36194, 1.19383,0.36194, 1.19383,0.36194, 1.19383,0.36194, 1.19383,0.36194
0.6301, 1.20912,0.35601, 1.20912,0.35601, 1.20912,0.35601, 1.20912,0.35601, 1.20912,0.35601
0.6351, 1.22441,0.34946, 1.22441,0.34946, 1.22441,0.34946, 1.22441,0.34946, 1.22441,0.34946
0.6401, 1.23966,0.34225, 1.23966,0.34225, 1.23966,0.34225, 1.23966,0.34225, 1.23966,0.34225
0.6451, 1.25487,0.33438, 1.25487,0.33438, 1.25487,0.33438, 1.25487,0.33438, 1.25487,0.33438
0.6501, 1.26999,0.32582, 1.26999,0.32582, 1.26999,0.32582, 1.26999,0.32582, 1.26999,0.32582
0.6551, 1.28501,0.31658, 1.28501,0.31658, 1.28501,0.31658, 1.28501,0.31658, 1.28501,0.31658
0.6601, 1.29988,0.30662, 1.29988,0.30662, 1.29988,0.30662, 1.29988,0.30662, 1.29988,0.30662
0.6651, 1.31459,0.29594, 1.31459,0.29594, 1.31459,0.29594, 1.31459,0.29594, 1.31459,0.29594
0.6701, 1.32908,0.28454, 1.32908,0.28454, 1.32908,0.28454, 1.32908,0.28454, 1.32908,0.28454
0.6751, 1.34334,0.27239, 1.34334,0.27239, 1.34334,0.27239, 1.34334,0.27239, 1.34334,0.27239
0.6801, 1.35733,0.25949, 1.35733,0.25949, 1.35733,0.25949, 1.35733,0.25949, 1.35733,0.25949
