index, F0 InfG.x, F0 InfG.y, F1 InfG.x, F1 InfG.y, F2 InfG.x, F2 InfG.y, F3 InfG.x, F3 InfG.y, F4 InfG.x, F4 InfG.y
0.8001, -0.49155,0.26090, -0.49155,0.26090, -0.49155,0.26090, -0.49155,0.26090, -0.49155,0.26090
0.8051, -0.48324,0.28861, -0.48324,0.28861, -0.48324,0.28861, -0.48324,0.28861, -0.48324,0.28861
0.8101, -0.47339,0.31636, -0.47339,0.31636, -0.47339,0.31636, -0.47339,0.31636, -0.47339,0.31636
0.8151, -0.46195,0.34407, -0.46195,0.34407, -0.46195,0.34407, -0.46195,0.34407, -0.46195,0.34407
0.8201, -0.44890,0.37166, -0.44890,0.37166, -0.44890,0.37166, -0.44890,0.37166, -0.44890,0.37166
0.8251, -0.43419,0.39904, -0.43419,0.39904, -0.43419,0.39904, -0.43419,0.39904, -0.43419,0.39904
0.8301, -0.41781,0.42611, -0.41781,0.42611, -0.41781,0.42611, -0.41781,0.42611, -0.41781,0.42611
0.8351, -0.39972,0.45278, -0.39972,0.45278, -0.39972,0.45278, -0.39972,0.45278, -0.39972,0.45278
0.8401, -0.37992,0.47893, -0.37992,0.47893, -0.37992,0.47893, -0.37992,0.47893, -0.37992,0.47893
0.8451, -0.35838,0.50447, -0.35838,0.50447, -0.35838,0.50447, -0.35838,0.50447, -0.35838,0.50447
0.8501, -0.33510,0.52928, -0.33510,0.52928, -0.33510,0.52928, -0.33510,0.52928, -0.33510,0.52928
0.8551, -0.31008,0.55325, -0.31008,0.55325, -0.31008,0.55325, -0.31008,0.55325, -0.31008,0.55325
0.8601, -0.28333,0.57627, -0.28333,0.57627, -0.28333,0.57627, -0.28333,0.57627, -0.28333,0.57627
0.8651, -0.25487,0.59820, -0.25487,0.59820, -0.25487,0.59820, -0.25487,0.59820, -0.25487,0.59820
0.8701, -0.22470,0.61893, -0.22470,0.61893, -0.22470,0.61893, -0.22470,0.61893, -0.22470,0.61893
0.8751, -0.19287,0.63832, -0.19287,0.63832, -0.19287,0.63832, -0.19287,0.63832, -0.19287,0.63832
0.8801, -0.15941,0.65626, -0.15941,0.65626, -0.15941,0.65626, -0.15941,0.65626, -0.15941,0.65626
0.8851, -0.12436,0.67262, -0.12436,0.67262, -0.12436,0.67262, -0.12436,0.67262, -0.12436,0.67262
0.8901, -0.08779,0.68725, -0.08779,0.68725, -0.08779,0.68725, -0.08779,0.68725, -0.08779,0.68725
0.8951, -0.04977,0.70004, -0.04977,0.70004, -0.04977,0.70004, -0.04977,0.70004, -0.04977,0.70004
0.9001, -0.01036,0.71085, -0.01036,0.71085, -0.01036,0.71085, -0.01036,0.71085, -0.01036,0.71085
0.9051, 0.03034,0.71956, 0.03034,0.71956, 0.03034,0.71956, 0.03034,0.71956, 0.03034,0.71956
0.9101, 0.07223,0.72604, 0.07223,0.72604, 0.07223,0.72604, 0.07223,0.72604, 0.07223,0.72604
0.9151, 0.11521,0.73016, 0.11521,0.73016, 0.11521,0.73016, 0.11521,0.73016, 0.11521,0.73016
0.9201, 0.15916,0.73181, 0.15916,0.73181, 0.15916,0.73181, 0.15916,0.73181, 0.15916,0.73181
0.9251, 0.20395,0.73087, 0.20395,0.73087, 0.20395,0.73087, 0.20395,0.73087, 0.20395,0.73087
0.9301, 0.24943,0.72723, 0.24943,0.72723, 0.24943,0.72723, 0.24943,0.72723, 0.24943,0.72723
0.9351, 0.29544,0.72078, 0.29544,0.72078, 0.29544,0.72078, 0.29544,0.72078, 0.29544,0.72078
0.9401, 0.34184,0.71144, 0.34184,0.71144, 0.34184,0.71144, 0.34184,0.71144, 0.34184,0.71144
0.9451, 0.38843,0.69911, 0.38843,0.69911, 0.38843,0.69911, 0.38843,0.69911, 0.38843,0.69911
0.9501, 0.43504,0.68371, 0.43504,0.68371, 0.43504,0.68371, 0.43504,0.68371, 0.43504,0.68371
0.9551, 0.48146,0.66517, 0.48146,0.66517, 0.48146,0.66517, 0.48146,0.66517, 0.48146,0.66517
0.9601, 0.52750,0.64344, 0.52750,0.64344, 0.52750,0.64344, 0.52750,0.64344, 0.52750,0.64344
0.9651, 0.57293,0.61848, 0.57293,0.61848, 0.57293,0.61848, 0.57293,0.61848, 0.57293,0.61848
0.9701, 0.61753,0.59025, 0.61753,0.59025, 0.61753,0.59025, 0.61753,0.59025, 0.61753,0.59025
0.9751, 0.66107,0.55874, 0.66107,0.55874, 0.66107,0.55874, 0.66107,0.55874, 0.66107,0.55874
0.9801, 0.70330,0.52395, 0.70330,0.52395, 0.70330,0.52395, 0.70330,0.52395, 0.70330,0.52395
0.9851, 0.74399,0.48589, 0.74399,0.48589, 0.74399,0.48589, 0.74399,0.48589, 0.74399,0.48589
0.9901, 0.78288,0.44460, 0.78288,0.44460, 0.78288,0.44460, 0.78288,0.44460, 0.78288,0.44460
0.9951, 0.81971,0.40014, 0.81971,0.40014, 0.81971,0.40014, 0.81971,0.40014, 0.81971,0.40014
