index, F0 Ar.x, F0 Ar.y, F1 Ar.x, F1 Ar.y, F2 Ar.x, F2 Ar.y, F3 Ar.x, F3 Ar.y, F4 Ar.x, F4 Ar.y
0.0751, 1.41640,0.57150, 1.80315,-0.14701, 1.64397,-0.57905, 1.44744,-0.77446, 1.28770,-0.86635
0.0801, 1.39907,0.58373, 1.80842,-0.11459, 1.67025,-0.54842, 1.48571,-0.75106, 1.33271,-0.85008
0.0851, 1.38144,0.59540, 1.81238,-0.08188, 1.69511,-0.51655, 1.52281,-0.72572, 1.37686,-0.83145
0.0901, 1.36352,0.60651, 1.81503,-0.04893, 1.71851,-0.48348, 1.55864,-0.69852, 1.42002,-0.81051
0.0951, 1.34531,0.61706, 1.81634,-0.01580, 1.74037,-0.44928, 1.59310,-0.66950, 1.46206,-0.78730
0.1001, 1.32681,0.62705, 1.81631,0.01746, 1.76064,-0.41403, 1.62610,-0.63875, 1.50286,-0.76188
0.1051, 1.30802,0.63649, 1.81491,0.05080, 1.77927,-0.37780, 1.65755,-0.60632, 1.54232,-0.73432
0.1101, 1.28894,0.64538, 1.81215,0.08415, 1.79621,-0.34066, 1.68737,-0.57230, 1.58031,-0.70468
0.1151, 1.26958,0.65370, 1.80800,0.11747, 1.81141,-0.30269, 1.71546,-0.53676, 1.61671,-0.67305
0.1201, 1.24995,0.66146, 1.80247,0.15068, 1.82482,-0.26397, 1.74176,-0.49980, 1.65144,-0.63950
0.1251, 1.23005,0.66864, 1.79555,0.18375, 1.83640,-0.22458, 1.76618,-0.46149, 1.68437,-0.60412
0.1301, 1.20989,0.67524, 1.78724,0.21660, 1.84612,-0.18461, 1.78865,-0.42194, 1.71542,-0.56701
0.1351, 1.18948,0.68125, 1.77755,0.24917, 1.85394,-0.14415, 1.80911,-0.38124, 1.74449,-0.52826
0.1401, 1.16883,0.68666, 1.76647,0.28141, 1.85984,-0.10328, 1.82749,-0.33950, 1.77149,-0.48798
0.1451, 1.14795,0.69145, 1.75401,0.31326, 1.86380,-0.06210, 1.84374,-0.29681, 1.79634,-0.44628
0.1501, 1.12686,0.69563, 1.74019,0.34465, 1.86578,-0.02071, 1.85781,-0.25329, 1.81897,-0.40327
0.1551, 1.10557,0.69918, 1.72502,0.37552, 1.86578,0.02082, 1.86965,-0.20905, 1.83929,-0.35907
0.1601, 1.08408,0.70209, 1.70850,0.40582, 1.86378,0.06237, 1.87923,-0.16420, 1.85724,-0.31380
0.1651, 1.06242,0.70435, 1.69067,0.43548, 1.85977,0.10386, 1.88650,-0.11885, 1.87277,-0.26758
0.1701, 1.04061,0.70594, 1.67154,0.46444, 1.85377,0.14519, 1.89143,-0.07312, 1.88583,-0.22056
0.1751, 1.01865,0.70686, 1.65113,0.49265, 1.84576,0.18625, 1.89402,-0.02714, 1.89636,-0.17285
0.1801, 0.99658,0.70710, 1.62946,0.52004, 1.83576,0.22696, 1.89423,0.01897, 1.90433,-0.12459
0.1851, 0.97439,0.70664, 1.60658,0.54656, 1.82377,0.26720, 1.89206,0.06510, 1.90971,-0.07592
0.1901, 0.95213,0.70548, 1.58251,0.57214, 1.80982,0.30689, 1.88750,0.11111, 1.91247,-0.02699
0.1951, 0.92979,0.70361, 1.55729,0.59674, 1.79393,0.34593, 1.88056,0.15689, 1.91260,0.02208
0.2001, 0.90742,0.70102, 1.53095,0.62029, 1.77613,0.38422, 1.87125,0.20231, 1.91009,0.07114
0.2051, 0.88502,0.69770, 1.50353,0.64275, 1.75644,0.42167, 1.85957,0.24725, 1.90494,0.12004
0.2101, 0.86262,0.69363, 1.47508,0.66405, 1.73490,0.45818, 1.84557,0.29158, 1.89716,0.16864
0.2151, 0.84025,0.68883, 1.44565,0.68415, 1.71156,0.49365, 1.82925,0.33518, 1.88675,0.21681
0.2201, 0.81793,0.68326, 1.41527,0.70301, 1.68646,0.52799, 1.81066,0.37793, 1.87375,0.26439
0.2251, 0.79568,0.67694, 1.38401,0.72056, 1.65965,0.56113, 1.78984,0.41971, 1.85817,0.31125
