Rak1 10,000 zeros
-0.459875498321803,1771.44420795891
-0.454835338729024,5764.57466585911
-0.452814340993823,5475.99897275586
-0.451983681699819,9517.27308177992
-0.451368596632765,4881.63937440264
-0.445151106177749,4270.82279392683
-0.443556867356652,3481.22556946726
-0.443449049107304,4914.96098371689
-0.442621440263634,4842.43921996252
-0.442357690837967,4993.61650469297
-0.437595950553528,1153.03045847114
-0.43569182780276,921.385357025859
-0.433064970291172,9311.64065069816
-0.432842425764873,6394.2988329909
-0.432748610611134,8677.69839004877
-0.431762557063932,2850.84429615875
-0.43132776709395,2590.41748089568
-0.429428151489452,1158.79293329394
-0.428891261041699,7432.24718875248
-0.421045680816032,141.243845638427
-0.420915546727831,209.019948067214
-0.419937823034299,9703.40884045306
-0.419072151518468,6861.74463025112
-0.413578053092194,8405.24402742898
-0.413461689172249,9215.7593542704
-0.412952209395501,4356.94465411441
-0.411225024846198,2966.85088748071
-0.410575880977703,766.474043839803
-0.40947162289217,983.077137780073
-0.409140239558748,5686.90846642519
-0.406732438509747,4079.30024116481
-0.402406426391815,3873.3648948875
-0.398959326655136,3960.10833212308
-0.398557355793868,3499.0261211378
-0.396442730461515,9025.5060077876
-0.391971168642531,9862.28004509416
-0.389760732483137,9192.2704667895
-0.389134102681875,3708.55404301646
-0.388198660581733,916.555711437485
-0.387110473206119,5691.62015653451
-0.386096183579765,2603.55936220434
-0.383659587322063,8413.48013566645
-0.38323801448584,7120.29926319012
