# sigma,T  Arias de Reyna positive-t zeros of f(s); T=indexToImag^-1(t); source Zeros25digits.txt
0.2382019929,146.3727463013
0.4917082343,146.3734594552
0.3001783056,146.3743014854
0.4356082302,146.3748918025
0.1148468103,146.3753569413
0.5072629445,146.3759859109
0.5045846692,146.3773966976
0.3694862399,146.3780038937
0.3130652957,146.3784291581
0.4770302259,146.3788811882
0.5927272976,146.3799580027
0.6325756309,146.3805307509
-2.7348311721,146.3812118375
0.6839357994,146.3817237516
0.5048255187,146.3824586314
0.2572682654,146.3834037270
0.4736800417,146.3839853613
0.0267352322,146.3844936659
0.4603766222,146.3847654669
0.5459615937,146.3857136828
0.7658861953,146.3869151460
0.5361565294,146.3875363181
0.5562259981,146.3882734374
0.2897140694,146.3887289977
0.3348707040,146.3893965876
0.4995832824,146.3902570645
0.5596716005,146.3907191961
-0.1538482550,146.3916246198
0.2582770885,146.3924280462
0.6708442321,146.3929569891
0.4645078389,146.3936834419
0.5513383882,146.3942794223
0.4813230236,146.3948041861
0.3739639713,146.3957814643
0.4435720686,146.3967297428
0.1357456874,146.3972271193
0.7124625058,146.3976368075
0.7285320238,146.3987968259
0.5053269490,146.3993784127
0.5846792211,146.3999547911
-0.4077142183,146.4007219242
0.3153269789,146.4014144659
0.4444226390,146.4026491175
-1.2961567782,146.4026763852
0.5504965320,146.4031726705
0.2714658999,146.4038635445
0.1152027157,146.4046578919
0.3285920052,146.4054438248
0.0346249500,146.4060551999
0.5389074770,146.4068817306
0.3005120528,146.4076960000
0.5004009430,146.4083019477
0.3991918963,146.4089528404
0.5658252011,146.4096432952
0.5081113291,146.4100022787
0.6543282080,146.4115322186
0.6514891561,146.4120861047
-17.1268225583,146.4117919075
0.2706692168,146.4127183964
0.5376922772,146.4133225670
0.3607019851,146.4140802192
0.4164370558,146.4148002164
-0.1610830212,146.4155469260
0.2311713323,146.4160036166
-31.1524556512,146.4167808911
0.1885514467,146.4170283456
0.2572241566,146.4176418439
0.4800330064,146.4183978150
0.5286291214,146.4186296669
0.3826167449,146.4195329098
0.4655770427,146.4203969235
0.2760324747,146.4214869471
0.2514695362,146.4219927378
0.0642942461,146.4224969627
0.2624684851,146.4228139642
0.7427902848,146.4240381267
0.4412268165,146.4244038740
0.5242926117,146.4252090200
-0.0848083818,146.4262982623
0.4276077689,146.4269712521
0.0357687013,146.4273376823
0.5001434257,146.4279348449
0.6397441960,146.4286439305
0.4680542932,146.4293067700
